cell_id,cy,cx,bldg_n,glass_frac,road_segs,shore_dist,mort_n,risk_p,risk,baseline_risk,intervention_risk,expected_reduction,best_intervention,intervention_rankings
0,41.8315,-87.67850000000001,212.0,0.9624413145539906,15.0,0.15550000000001774,0.0,0.011087157362864425,Low,0.011087157362864425,0.011087157362864425,0.0,Wildlife crossing corridor,Wildlife crossing corridor (0.0%); Anti-collision window film (-90.8%); Vegetation buffer (-121.4%); Reduced night lighting (-270.0%)
1,41.8345,-87.67850000000001,311.0,0.8685897435897436,17.0,0.15550000000001774,0.0,0.03241576958076666,Low,0.03241576958076666,0.019549359437180558,39.69182379436756,Vegetation buffer,Vegetation buffer (39.7%); Reduced night lighting (28.5%); Anti-collision window film (3.9%); Wildlife crossing corridor (-2.4%)
2,41.8375,-87.67850000000001,2.0,0.0,3.0,0.15550000000001774,0.0,0.02809151308276818,Low,0.02809151308276818,0.024708494687178256,12.042848619874183,Reduced night lighting,Reduced night lighting (12.0%); Wildlife crossing corridor (12.0%); Anti-collision window film (0.0%); Vegetation buffer (0.0%)
3,41.840500000000006,-87.67850000000001,1.0,0.0,0.0,0.15550000000001774,0.0,0.025280201687340673,Low,0.025280201687340673,0.025280201687340673,0.0,Anti-collision window film,Anti-collision window film (0.0%); Reduced night lighting (0.0%); Vegetation buffer (0.0%); Wildlife crossing corridor (0.0%)
4,41.8435,-87.67850000000001,4.0,0.2,2.0,0.15550000000001774,0.0,0.02296607386246798,Low,0.02296607386246798,0.02296607386246798,0.0,Reduced night lighting,Reduced night lighting (0.0%); Wildlife crossing corridor (0.0%); Anti-collision window film (-38.5%); Vegetation buffer (-166.4%)
5,41.8465,-87.67850000000001,59.0,0.9333333333333333,6.0,0.15550000000001774,0.0,0.09679408114074234,Low,0.09679408114074234,0.08886795606169695,8.188646439569476,Anti-collision window film,Anti-collision window film (8.2%); Vegetation buffer (0.0%); Wildlife crossing corridor (-2.2%); Reduced night lighting (-30.9%)
6,41.849500000000006,-87.67850000000001,333.0,0.9940119760479041,20.0,0.15550000000001774,0.0,0.038824723971487674,Low,0.038824723971487674,0.049989931568019355,-28.757983198364144,Wildlife crossing corridor,Wildlife crossing corridor (-28.8%); Anti-collision window film (-55.4%); Vegetation buffer (-104.1%); Reduced night lighting (-118.7%)
7,41.8525,-87.67850000000001,235.0,0.9872881355932204,18.0,0.15550000000001774,0.0,0.017793131879647893,Low,0.017793131879647893,0.028958339476179575,-62.75009746486872,Wildlife crossing corridor,Wildlife crossing corridor (-62.8%); Anti-collision window film (-168.6%); Vegetation buffer (-194.9%); Reduced night lighting (-376.2%)
8,41.855500000000006,-87.67850000000001,320.0,0.956386292834891,14.0,0.15550000000001774,0.0,0.02869366949297208,Low,0.02869366949297208,0.02503781160532019,12.740991139342837,Wildlife crossing corridor,Wildlife crossing corridor (12.7%); Vegetation buffer (-98.4%); Anti-collision window film (-99.4%); Reduced night lighting (-194.6%)
9,41.8585,-87.67850000000001,141.0,0.9788732394366197,11.0,0.15550000000001774,0.0,0.07546862216525192,Low,0.07546862216525192,0.08473939075858113,-12.284269047643686,Wildlife crossing corridor,Wildlife crossing corridor (-12.3%); Anti-collision window film (-36.4%); Vegetation buffer (-45.3%); Reduced night lighting (-91.8%)
10,41.8615,-87.67850000000001,0.0,0.0,0.0,0.15550000000001774,0.0,0.07520796622832795,Low,0.07520796622832795,0.07520796622832795,0.0,Anti-collision window film,Anti-collision window film (0.0%); Reduced night lighting (0.0%); Vegetation buffer (0.0%); Wildlife crossing corridor (0.0%)
11,41.8645,-87.67850000000001,7.0,0.625,4.0,0.15550000000001774,0.0,0.09791057650557948,Low,0.09791057650557948,0.08976886164593001,8.315460035296097,Wildlife crossing corridor,Wildlife crossing corridor (8.3%); Vegetation buffer (4.3%); Anti-collision window film (1.6%); Reduced night lighting (-2.2%)
12,41.86750000000001,-87.67850000000001,6.0,0.42857142857142855,11.0,0.15550000000001774,0.0,0.09028919572637603,Low,0.09028919572637603,0.0848960818983712,5.973155242570574,Wildlife crossing corridor,Wildlife crossing corridor (6.0%); Reduced night lighting (1.8%); Vegetation buffer (1.8%); Anti-collision window film (-49.5%)
13,41.8705,-87.67850000000001,67.0,0.6323529411764706,16.0,0.15550000000001774,0.0,0.11355325154870761,Low,0.11355325154870761,0.12032988044085716,-5.967798191355858,Reduced night lighting,Reduced night lighting (-6.0%); Wildlife crossing corridor (-6.5%); Vegetation buffer (-6.9%); Anti-collision window film (-12.9%)
14,41.8735,-87.67850000000001,10.0,0.6363636363636364,9.0,0.15550000000001774,0.0,0.0804967659740914,Low,0.0804967659740914,0.07395672321168582,8.124603123199446,Reduced night lighting,Reduced night lighting (8.1%); Vegetation buffer (5.3%); Wildlife crossing corridor (3.2%); Anti-collision window film (-4.7%)
15,41.87650000000001,-87.67850000000001,46.0,0.8085106382978723,15.0,0.15550000000001774,0.0,0.10974764087356106,Low,0.10974764087356106,0.10030652004063882,8.602572918901505,Vegetation buffer,Vegetation buffer (8.6%); Anti-collision window film (7.1%); Wildlife crossing corridor (-2.2%); Reduced night lighting (-24.0%)
16,41.8795,-87.67850000000001,56.0,0.8070175438596491,15.0,0.15550000000001774,0.0,0.10599234721759275,Low,0.10599234721759275,0.09655122638467048,8.907360843269654,Vegetation buffer,Vegetation buffer (8.9%); Anti-collision window film (6.5%); Wildlife crossing corridor (-2.3%); Reduced night lighting (-24.8%)
17,41.88250000000001,-87.67850000000001,75.0,0.8157894736842105,20.0,0.15550000000001774,0.0,0.0950599497596919,Low,0.0950599497596919,0.08851299935370506,6.8871805871319,Vegetation buffer,Vegetation buffer (6.9%); Anti-collision window film (4.5%); Wildlife crossing corridor (-17.9%); Reduced night lighting (-23.8%)
18,41.8855,-87.67850000000001,45.0,0.8695652173913043,16.0,0.15550000000001774,0.0,0.165807232048986,Low,0.165807232048986,0.09836854722248117,40.67294531916484,Anti-collision window film,Anti-collision window film (40.7%); Vegetation buffer (39.1%); Reduced night lighting (30.7%); Wildlife crossing corridor (-2.4%)
19,41.8885,-87.67850000000001,30.0,0.9354838709677419,14.0,0.15550000000001774,0.0,0.05381876362868713,Low,0.05381876362868713,0.05155214876147506,4.211569932840091,Wildlife crossing corridor,Wildlife crossing corridor (4.2%); Anti-collision window film (-0.6%); Vegetation buffer (-10.9%); Reduced night lighting (-39.3%)
20,41.8915,-87.67850000000001,296.0,0.8754208754208754,10.0,0.15550000000001774,0.0,0.004298950931076189,Low,0.004298950931076189,0.008938213363785167,-107.91615226805104,Reduced night lighting,Reduced night lighting (-107.9%); Anti-collision window film (-198.1%); Vegetation buffer (-295.9%); Wildlife crossing corridor (-697.8%)
21,41.89450000000001,-87.67850000000001,258.0,0.7876447876447876,26.0,0.15550000000001774,0.0,0.000992395593786404,Low,0.000992395593786404,0.0034536264649287596,-248.00904866493116,Anti-collision window film,Anti-collision window film (-248.0%); Wildlife crossing corridor (-399.3%); Vegetation buffer (-533.6%); Reduced night lighting (-1476.1%)
